
============================================================
Sheet: 清风抽纸
============================================================
                      0        1   2                                                                                          3
72  2025-11-04 11:47:42                   水汪汪的大眼睛  文字                                                                                                                 已拍，现在用的就是这款，省了差不多一半的钱
73  2025-11-04 11:54:19                        玉琳  文字                                                                                                                                    已拍
74  2025-11-04 11:57:13       wxid_w91ermh9x7b622  文字                                                                                                                          已拍，划算试试看[呲牙]
75  2025-11-04 12:00:46                      E悟空8  文字                                                               快快快[抓狂][抓狂]熵家那边给我发消息了姐姐们，裤存不多了，咱们想要的抓紧时间去呛了❗❗❗\n\n好价闭眼入，错过这次🐑羊毛真的是要拍大腿了
76  2025-11-04 12:01:18                   E佛系的悟空8  文字       [礼物]植护旗舰店内衣洗衣液\n-\n✅植护大品簰，除~菌率99%，500ml大瓶装 💰4.9亓撸\n-\n⭕点击🔗：https://c-01.cn/BkWt7J\n-\n📢📢专业内衣洗护，平常没有的力度！抓紧帕！！\n保质期2年！！！2年！！！[抓狂]
77  2025-11-04 12:02:26                      @星巴克  文字                                                                                            已拍，3个闺蜜在群里都买到了，有一个闺蜜用户这款说好用，然后每个人都下了一单[偷笑]
78  2025-11-04 12:04:26                      丹妮丹妮  文字                                                                                                                              已拍，拉2个朋友
79  2025-11-04 12:04:38       wxid_5iwncxtwxjgm22  文字                                                                                                                                 牛奶怎么拍
80  2025-11-04 12:06:46  25984984029570018@openim  文字                                                                                    @简简单单 姐咱还没有发牛奶的活动哦，姐如果着急的话添加一下管家，帮咱看看牛奶的活动什么时候开始哈~
81  2025-11-04 12:09:58       wxid_5iwncxtwxjgm22  文字                                                                                                                                    好的
82  2025-11-04 12:10:17                       养乐多  文字                                                                                                            谢谢群主，太划算了，一瓶才4.9，一斤哇[强][强]
83  2025-11-04 12:19:16                     爱吃糖醋鱼  文字                                                                                                                    我拉了五个人进群悟空，一起抢[呲牙]
84  2025-11-04 12:24:44                       豆芽儿  文字                                                                                                                              是没了吗 结束了
85  2025-11-04 12:27:54                     一个达不溜  文字                                                                                                                           [捂脸]没赶上，这么快
86  2025-11-04 12:28:48                      E悟空8  文字                                                                                                        ❌【植护内 衣洗衣液】呛完了，晚来家人不要去了，以免跑空❗❗
87  2025-11-04 12:28:58                      E悟空8  文字                                                                                                 检漏就是这样，库 存不多随时呛完[敲打]我去找其他的，置 顶 群不错过🔝🔝
88  2025-11-04 12:29:50                     一个达不溜  文字                                                                                                                                 错过一个亿
89  2025-11-04 12:30:45                     一个达不溜  文字                                                                                                               打一个晃就没了[捂脸]置顶了，下个好物必须买到
90  2025-11-04 12:33:06                       豆芽儿  文字                                                                                                                              以后还会有活动吗
91  2025-11-04 12:34:08                      E悟空8  文字                                                                                                      我们悟空群🕒不定时都有活动送礼🎁！姐姐们可以置顶群🔝多关注消息哈

============================================================
Sheet: 雪花膏
============================================================
                      0                    1   2                                                                                                                     3
0                    时间                  发送人  类型                                                                                                                    内容
1   2025-11-10 10:21:03             E佛系的悟空04  文字                                                                                                    姐姐们[坏笑]这个你们用过不！！👇👇
2   2025-11-10 10:22:07             E佛系的悟空04  文字                                                                                           八十年代流传下来的老品簲！！老上海❄雪花膏！！[机智]
3   2025-11-10 10:22:24             E佛系的悟空04  文字                                                                                         👉堪称为万能型的护肤神器！一盒多用（面霜，身体乳，护手霜）
4   2025-11-10 10:23:42                  小苹果  文字                                                                                                                    用过
5   2025-11-10 10:23:57                 糖裹布丁  文字                                                                                                这个不仅仅滋润皮肤，如果冬天皴裂用这个也管用
6   2025-11-10 10:24:02                  馒头片  文字                                                                                                     没想到现在还有，以前就老用，非常润
7   2025-11-10 10:25:39             E佛系的悟空04  文字                                                                                                      只能说和以前一模一样！！[得意]
8   2025-11-10 10:27:04             E佛系的悟空04  文字                                                                                                        质地轻薄！一抹化水不厚重❌！
9   2025-11-10 10:27:22             E佛系的悟空04  文字                                                                       特别是现在这种天气渐渐干燥了！！[让我看看]脸上、皮肤起皮的就来点！！马上润的和👶婴儿肌一样！
10  2025-11-10 10:29:13                  养乐多  文字                                                                                                                  老好用了
11  2025-11-10 10:30:14                 是小夹心  文字                                                                                                     多少钱💰啊，我在上海买的四盒89元
12  2025-11-10 10:31:39             E佛系的悟空04  文字                                                                                 线.下在 售4盒装就是💰89块銭[惊恐]！単盒💰22.25亓贵的离谱❗❗❗
13  2025-11-10 10:32:12              水汪汪的大眼睛  文字                                                                                               这个可以，去年我开始用了，冬天手干，用用好多了
14  2025-11-10 10:34:06             E佛系的悟空04  文字                                                                                 咱们今天③盒只要💰8.9亓！④盒💰11.9亓！[抓狂]这忦格真捡到了啊！！
15  2025-11-10 10:34:24             E佛系的悟空04  文字                                                                                          正好冬季来临！天气干燥皮肤缺水，姐姐们正好需要它[跳跳]
16  2025-11-10 10:38:07              E佛系的悟空8  文字  ✨悟空好物福..莉✨\n-\n✅【老上海雪花膏】3盒 💰8.9亓 4盒 💰11.9亓！\n-\n🔗连接：https://c-01.cn/VUDbyP\n-\n☑保 湿+滋..润+修/复！深层滋 润肌肤！花小銭办大事！一年四季都能用~
17  2025-11-10 10:41:31                   摘星  文字                                                                                                                    已拍
18  2025-11-10 10:43:36                 荔枝只只  文字                                                                                                         [偷笑]拍了，冬天用很及时
19  2025-11-10 10:44:11           六@💎招金银楼💍姜姜  文字                                                                                                                    已拍
20  2025-11-10 10:45:16                  养乐多  文字                                                                                            [强][强][强]便宜哦，多买点当护手霜、身体乳都行
21  2025-11-10 10:49:01                 糖裹布丁  文字                                                                                                                    已拍
22  2025-11-10 10:50:57             E佛系的悟空04  文字                                                    🛑还在学习的小伙伴【看上方教程视频👆操作】\n✅【可多帕】高铁上一盒要💰89！当面霜，身体乳，护手霜都OK！从小就在用的簰子！快冲！
23  2025-11-10 10:53:48                  馒头片  文字                                                                                                            必须抢，跟婆婆一起用
24  2025-11-10 10:54:43                  馒头片  文字                                                                                                         冬天干，抹它正合适老品牌了
25  2025-11-10 11:00:20                 是小夹心  文字                                                                                                                    已拍
26  2025-11-10 11:05:20                 半糖主义  文字                                                                                                    共买了7盒，每个味道都来一样[偷笑]
27  2025-11-10 11:10:50              水汪汪的大眼睛  文字                                                                                     前两年去武汉昙华林见过这款，一盒都要25元[撇嘴]群里真便宜[强]
28  2025-11-10 11:13:23                  刚刚好  文字                                                                                                        @佛系的悟空  儿童可以用吗
29  2025-11-10 11:15:30             E佛系的悟空04  文字                                                       ✅【雪花膏】儿童如果是当护手霜或身体乳的话是没有年..龄限制的，都可以用‼\n\n太小的孩子不建.议当面霜使用❗大人都可以用❗
30  2025-11-10 11:16:06             E佛系的悟空04  文字                                                                                            ☝万能护肤膏！一盒多用（🉑当面霜，身体乳，护手霜）‼
31  2025-11-10 11:17:38                  刚刚好  文字                                                                                                          那我多买点，全家都可以用
32  2025-11-10 11:20:03                  小苹果  文字                                                                                                      已拍，这么便宜手脚随便涂[呲牙]
33  2025-11-10 11:23:37                  橙子皮  文字                                                                                                                  已拍谢谢
34  2025-11-10 11:27:06  wxid_30zez13hun2v22  文字                                                                 [呲牙]巧了不是 刚好我的空罐了，上海牌雪花膏，老香了闻着很舒服，我都拿来当护手霜，很滋润涂完滑滑的[强]
35  2025-11-10 11:30:24                  一颗糖  文字                                                                                          一盒多用方便的嘞还这么实惠，直接拍3单了[抱拳][抱拳]
36  2025-11-10 11:34:52                   浅冬  文字                                                                                       我家一直有这种雪花膏用来擦手擦脚[偷笑]好用[强][强][强]
37  2025-11-10 11:39:57                 荔枝只只  文字                                                                                                       雪花膏保质期多久 @佛系的悟空
38  2025-11-10 11:41:38             E佛系的悟空04  文字                                                                          ✅【雪花膏】保质期3⃣年！日用消耗品用起来都快，【一个🍑账呺限购5⃣单】这个忦格必须入！
39  2025-11-10 11:42:51             E佛系的悟空04  文字                                                                           不仅礼 盒包 装精 美，封 面设 计的好看，复古感十足，无论是自用还是送人🎁都很不错！
40  2025-11-10 11:43:09             E佛系的悟空04  文字                                                                                                一盒还有好几个味道可以天换一盒✅超爽体验❗❗
41  2025-11-10 11:44:14              E佛系的悟空8  文字  ✨悟空好物福..莉✨\n-\n✅【老上海雪花膏】3盒 💰8.9亓 4盒 💰11.9亓！\n-\n🔗连接：https://c-01.cn/VUDbyP\n-\n☑保 湿+滋..润+修/复！深层滋 润肌肤！花小銭办大事！一年四季都能用~
42  2025-11-10 11:47:30             E佛系的悟空04  文字                                   🛑正在学习的小伙伴【看上方教程视频👆操作】\n\n✅补水维稳💦一把手，秋冬季护肤刚需！不管是涂脸、涂手、当身体乳，都不觉得心疼❤这波真的挖到宝啦～史低扴🛒 呛就完事！
43  2025-11-10 11:53:06  wxid_t8nztoc5h4l922  文字                                                                                                    这个老品牌国货好用[强][强][强]
44  2025-11-10 11:58:51                咕噜咕噜锤  文字                                                                                            多拍两单，当身体乳来用，这样就不用买身体乳了[旺柴]
45  2025-11-10 12:03:12                阳光的温暖  文字                                                                                 感谢悟空老板福利[哇]火车上是100元一套的标准，这个真的便宜又好用的国货
46  2025-11-10 12:10:59                程璐向前冲  文字                                                                                                                    已拍
47  2025-11-10 12:19:06  wxid_nsr6gr8a7uih22  文字                                                                                              刚好冬天需要，全家一起用，实惠[强][强][强]
48  2025-11-10 12:30:17                  小幸运  文字                                                                                                                 雪花膏已拍
49  2025-11-10 12:45:59                  服逛逛  文字                                                                                   这个油污净太给力了，喷一下 静置一会 水一冲就干净[强][强]太满意了
50  2025-11-10 12:54:26                 茉莉花茶  文字                                                                                        我也拍了，悟空事事周到，贴心[强]正好冬天降温很干燥太需要了
51  2025-11-10 13:08:21              E佛系的悟空8  文字  ✨悟空好物福..莉✨\n-\n✅【老上海雪花膏】3盒 💰8.9亓 4盒 💰11.9亓！\n-\n🔗连接：https://c-01.cn/VUDbyP\n-\n☑保 湿+滋..润+修/复！深层滋 润肌肤！花小銭办大事！一年四季都能用~
52  2025-11-10 13:09:11             E佛系的悟空04  文字                                                          \n✅补水维稳💦一把手，秋冬季护肤刚需！不管是涂脸、涂手、当身体乳，都不觉得心疼❤这波真的挖到宝啦～史低扴🛒 呛就完事！
53  2025-11-10 13:30:38                  刘亚晴  文字                                                                             很便宜啊，做家务要泡水啥的，每次手都干巴巴的很粗糙，这下可以好好保护手了，买了五单
54  2025-11-10 13:47:11                   笑笑  文字                                                                                     对啊，我也买了四单，手是女人的第二张脸，把第二张脸爱护一下[坏笑]
55  2025-11-10 14:12:24                 晨晨快跑  文字                                                                                                               买了三单雪花膏
56  2025-11-10 14:40:45                  洋娃娃  文字                                                                                                这个碗真好，大小也很合适~~质量也很好呢~~
57  2025-11-10 14:46:21  wxid_ikok715s5egp22  文字                                                                                                 这个碗是真好看，买来到货我都惊呆了[偷笑]
58  2025-11-10 14:53:55  wxid_m8snp53em28l22  文字                                                                                                               已拍，期待好用
59  2025-11-10 15:25:12                  小刘佳  文字                                                                              面包收到了，口感香糯，爆汁，奶香与乳酸菌融合的恰到好处，我爱吃[玫瑰]小孩也爱吃
60  2025-11-10 15:26:07                  小刘佳  文字                                                                                                          群主推荐的都是这个[强]
61  2025-11-10 15:31:50             E佛系的悟空04  文字                                                           节约省 钱💵很必要，但品质也关键[握手]好物 件，经得久才更值得，性 价 比不只是数字[勾引][勾引]更是质量和态度✅
62  2025-11-10 15:32:10             E佛系的悟空04  文字                                                                           所以群 内能分 享的都是经过我层 层验 货🔰，宁缺毋滥，分 享好 物我是认真的[加油]
63  2025-11-10 15:43:54                 一个大福  文字                                                           真心不错，实惠又有保障，好多东西都是便宜没好货，在你这儿都是便宜品质好货，谢谢提供这么好的东西[抱拳][抱拳][玫瑰]
64  2025-11-10 15:51:16             E佛系的悟空04  文字                                                                                                 哈哈[跳跳]你们值得邂逅最棒❗❗最好的❗❗

============================================================
Sheet: 柔姿
============================================================
                       0                         1   2                                                                                                                                3
0                     时间                       发送人  类型                                                                                                                               内容
1    2025-11-04 18:44:29                      E悟空8  文字                                                                                                          家里管事的在哪里~~~[奸笑]在的扣1！！！！
2    2025-11-04 18:45:31                       馒头片  文字                                                                                                                                1
3    2025-11-04 18:45:36       wxid_30zez13hun2v22  文字                                                                                                                                1
4    2025-11-04 18:45:37                     程璐向前冲  文字                                                                                                                                1
5    2025-11-04 18:45:39                      哇塞哇塞  文字                                                                                                                                1
6    2025-11-04 18:45:40                      欧神附体  文字                                                                                                                                1
7    2025-11-04 18:46:27                     蜜桃小丸子  文字                                                                                                                                1
8    2025-11-04 18:46:31                       小幸运  文字                                                                                                                                1
9    2025-11-04 18:47:10                      E悟空8  文字                                                                                                           抽纸不嫌多！趁着今天有羊毛带🦙着大家噜一波！
10   2025-11-04 18:47:32                       小丸子  文字                                                                                                                                1
11   2025-11-04 18:48:11                      E悟空8  文字                                                                                                           柔恣 」家的整整 5 大包，只要个位数✌！！
12   2025-11-04 18:48:58                      茉莉花茶  文字                                                                                                                              在在在
13   2025-11-04 18:49:00                        海棠  文字                                                                                                                                1
14   2025-11-04 18:49:07                     棒棒糖很甜  文字                                                                                                                     来咯，时刻准备着[调皮]
15   2025-11-04 18:49:17                      似水流年  文字                                                                                                                   5包？？只要个位数，太给力了
